Les codes hexas et unicode des caractères usuels, par Nicolas Hoffmann
Code unicode	Code hexa	En clair	Au clavier
&#2822;	%b06	ଆ
&#2823;	%b07	ଇ
&#2824;	%b08	ଈ
&#2825;	%b09	ଉ
&#2826;	%b0a	ଊ
&#2827;	%b0b	ଋ
&#2828;	%b0c	ଌ
&#2829;	%b0d	଍
&#2830;	%b0e	଎
&#2831;	%b0f	ଏ
&#2832;	%b10	ଐ
&#2833;	%b11	଑
&#2834;	%b12	଒
&#2835;	%b13	ଓ
&#2836;	%b14	ଔ
&#2837;	%b15	କ
&#2838;	%b16	ଖ
&#2839;	%b17	ଗ
&#2840;	%b18	ଘ
&#2841;	%b19	ଙ
&#2842;	%b1a	ଚ
&#2843;	%b1b	ଛ
&#2844;	%b1c	ଜ
&#2845;	%b1d	ଝ
&#2846;	%b1e	ଞ
&#2847;	%b1f	ଟ
&#2848;	%b20	ଠ
&#2849;	%b21	ଡ
&#2850;	%b22	ଢ
&#2851;	%b23	ଣ
&#2852;	%b24	ତ
&#2853;	%b25	ଥ
&#2854;	%b26	ଦ
&#2855;	%b27	ଧ
&#2856;	%b28	ନ
&#2857;	%b29	଩
&#2858;	%b2a	ପ
&#2859;	%b2b	ଫ
&#2860;	%b2c	ବ
&#2861;	%b2d	ଭ
&#2862;	%b2e	ମ
&#2863;	%b2f	ଯ
&#2864;	%b30	ର
&#2865;	%b31	଱
&#2866;	%b32	ଲ
&#2867;	%b33	ଳ
&#2868;	%b34	଴
&#2869;	%b35	ଵ
&#2870;	%b36	ଶ
&#2871;	%b37	ଷ
&#2872;	%b38	ସ
&#2873;	%b39	ହ
&#2874;	%b3a	଺
&#2875;	%b3b	଻
&#2876;	%b3c	଼
&#2877;	%b3d	ଽ
&#2878;	%b3e	ା
&#2879;	%b3f	ି
&#2880;	%b40	ୀ
&#2881;	%b41	ୁ
&#2882;	%b42	ୂ
&#2883;	%b43	ୃ
&#2884;	%b44	ୄ
&#2885;	%b45	୅
&#2886;	%b46	୆
&#2887;	%b47	େ
&#2888;	%b48	ୈ
&#2889;	%b49	୉
&#2890;	%b4a	୊
&#2891;	%b4b	ୋ
&#2892;	%b4c	ୌ
&#2893;	%b4d	୍
&#2894;	%b4e	୎
&#2895;	%b4f	୏
&#2896;	%b50	୐
&#2897;	%b51	୑
&#2898;	%b52	୒
&#2899;	%b53	୓
&#2900;	%b54	୔
&#2901;	%b55	୕
&#2902;	%b56	ୖ
&#2903;	%b57	ୗ
&#2904;	%b58	୘
&#2905;	%b59	୙
&#2906;	%b5a	୚
&#2907;	%b5b	୛
&#2908;	%b5c	ଡ଼
&#2909;	%b5d	ଢ଼
&#2910;	%b5e	୞
&#2911;	%b5f	ୟ
&#2912;	%b60	ୠ
&#2913;	%b61	ୡ
&#2914;	%b62	ୢ
&#2915;	%b63	ୣ
&#2916;	%b64	୤
&#2917;	%b65	୥
&#2918;	%b66	୦
&#2919;	%b67	୧
&#2920;	%b68	୨
&#2921;	%b69	୩
&#2922;	%b6a	୪
&#2923;	%b6b	୫
&#2924;	%b6c	୬
&#2925;	%b6d	୭
&#2926;	%b6e	୮
&#2927;	%b6f	୯
&#2928;	%b70	୰
&#2929;	%b71	ୱ
&#2930;	%b72	୲
&#2931;	%b73	୳
&#2932;	%b74	୴
&#2933;	%b75	୵
&#2934;	%b76	୶
&#2935;	%b77	୷
&#2936;	%b78	୸
&#2937;	%b79	୹
&#2938;	%b7a	୺
&#2939;	%b7b	୻
&#2940;	%b7c	୼
&#2941;	%b7d	୽
&#2942;	%b7e	୾
&#2943;	%b7f	୿
&#2944;	%b80	஀
&#2945;	%b81	஁
&#2946;	%b82	ஂ
&#2947;	%b83	ஃ
&#2948;	%b84	஄
&#2949;	%b85	அ
&#2950;	%b86	ஆ
&#2951;	%b87	இ
&#2952;	%b88	ஈ
&#2953;	%b89	உ
&#2954;	%b8a	ஊ
&#2955;	%b8b	஋
&#2956;	%b8c	஌
&#2957;	%b8d	஍
&#2958;	%b8e	எ
&#2959;	%b8f	ஏ
&#2960;	%b90	ஐ
&#2961;	%b91	஑
&#2962;	%b92	ஒ
&#2963;	%b93	ஓ
&#2964;	%b94	ஔ
&#2965;	%b95	க
&#2966;	%b96	஖
&#2967;	%b97	஗
&#2968;	%b98	஘
&#2969;	%b99	ங
&#2970;	%b9a	ச
&#2971;	%b9b	஛
&#2972;	%b9c	ஜ
&#2973;	%b9d	஝
&#2974;	%b9e	ஞ
&#2975;	%b9f	ட
&#2976;	%ba0	஠
&#2977;	%ba1	஡
&#2978;	%ba2	஢
&#2979;	%ba3	ண
&#2980;	%ba4	த
&#2981;	%ba5	஥
&#2982;	%ba6	஦
&#2983;	%ba7	஧
&#2984;	%ba8	ந
&#2985;	%ba9	ன
&#2986;	%baa	ப
&#2987;	%bab	஫
&#2988;	%bac	஬
&#2989;	%bad	஭
&#2990;	%bae	ம
&#2991;	%baf	ய
&#2992;	%bb0	ர
&#2993;	%bb1	ற
&#2994;	%bb2	ல
&#2995;	%bb3	ள
&#2996;	%bb4	ழ
&#2997;	%bb5	வ
&#2998;	%bb6	ஶ
&#2999;	%bb7	ஷ
&#3000;	%bb8	ஸ
&#3001;	%bb9	ஹ
&#3002;	%bba	஺
&#3003;	%bbb	஻
&#3004;	%bbc	஼
&#3005;	%bbd	஽
&#3006;	%bbe	ா
&#3007;	%bbf	ி
&#3008;	%bc0	ீ
&#3009;	%bc1	ு
&#3010;	%bc2	ூ
&#3011;	%bc3	௃
&#3012;	%bc4	௄
&#3013;	%bc5	௅
&#3014;	%bc6	ெ
&#3015;	%bc7	ே
&#3016;	%bc8	ை
&#3017;	%bc9	௉
&#3018;	%bca	ொ
&#3019;	%bcb	ோ
&#3020;	%bcc	ௌ
&#3021;	%bcd	்
&#3022;	%bce	௎
&#3023;	%bcf	௏
&#3024;	%bd0	ௐ
&#3025;	%bd1	௑
&#3026;	%bd2	௒
&#3027;	%bd3	௓
&#3028;	%bd4	௔
&#3029;	%bd5	௕
&#3030;	%bd6	௖
&#3031;	%bd7	ௗ
&#3032;	%bd8	௘
&#3033;	%bd9	௙
&#3034;	%bda	௚
&#3035;	%bdb	௛
&#3036;	%bdc	௜
&#3037;	%bdd	௝
&#3038;	%bde	௞
&#3039;	%bdf	௟
&#3040;	%be0	௠
&#3041;	%be1	௡
&#3042;	%be2	௢
&#3043;	%be3	௣
&#3044;	%be4	௤
&#3045;	%be5	௥
&#3046;	%be6	௦
&#3047;	%be7	௧
&#3048;	%be8	௨
&#3049;	%be9	௩
&#3050;	%bea	௪
&#3051;	%beb	௫
&#3052;	%bec	௬
&#3053;	%bed	௭
&#3054;	%bee	௮
&#3055;	%bef	௯
&#3056;	%bf0	௰
&#3057;	%bf1	௱
&#3058;	%bf2	௲
&#3059;	%bf3	௳
&#3060;	%bf4	௴
&#3061;	%bf5	௵
&#3062;	%bf6	௶
&#3063;	%bf7	௷
&#3064;	%bf8	௸
&#3065;	%bf9	௹
&#3066;	%bfa	௺
&#3067;	%bfb	௻
&#3068;	%bfc	௼
&#3069;	%bfd	௽
&#3070;	%bfe	௾
&#3071;	%bff	௿
&#3072;	%c00	ఀ
&#3073;	%c01	ఁ
&#3074;	%c02	ం
&#3075;	%c03	ః
&#3076;	%c04	ఄ
&#3077;	%c05	అ
&#3078;	%c06	ఆ
&#3079;	%c07	ఇ
&#3080;	%c08	ఈ
&#3081;	%c09	ఉ
&#3082;	%c0a	ఊ
&#3083;	%c0b	ఋ
&#3084;	%c0c	ఌ
&#3085;	%c0d	఍
&#3086;	%c0e	ఎ
&#3087;	%c0f	ఏ
&#3088;	%c10	ఐ
&#3089;	%c11	఑
&#3090;	%c12	ఒ
&#3091;	%c13	ఓ
&#3092;	%c14	ఔ
&#3093;	%c15	క
&#3094;	%c16	ఖ
&#3095;	%c17	గ
&#3096;	%c18	ఘ
&#3097;	%c19	ఙ
&#3098;	%c1a	చ
&#3099;	%c1b	ఛ
&#3100;	%c1c	జ
&#3101;	%c1d	ఝ
&#3102;	%c1e	ఞ
&#3103;	%c1f	ట
&#3104;	%c20	ఠ
&#3105;	%c21	డ
&#3106;	%c22	ఢ
&#3107;	%c23	ణ
&#3108;	%c24	త
&#3109;	%c25	థ
&#3110;	%c26	ద
&#3111;	%c27	ధ
&#3112;	%c28	న
&#3113;	%c29	఩
&#3114;	%c2a	ప
&#3115;	%c2b	ఫ
&#3116;	%c2c	బ
&#3117;	%c2d	భ
&#3118;	%c2e	మ
&#3119;	%c2f	య
&#3120;	%c30	ర
&#3121;	%c31	ఱ
&#3122;	%c32	ల
&#3123;	%c33	ళ
&#3124;	%c34	ఴ
&#3125;	%c35	వ
&#3126;	%c36	శ
&#3127;	%c37	ష
&#3128;	%c38	స
&#3129;	%c39	హ
&#3130;	%c3a	఺
&#3131;	%c3b	఻
&#3132;	%c3c	఼
&#3133;	%c3d	ఽ
&#3134;	%c3e	ా
&#3135;	%c3f	ి
&#3136;	%c40	ీ
&#3137;	%c41	ు
&#3138;	%c42	ూ
&#3139;	%c43	ృ
&#3140;	%c44	ౄ
&#3141;	%c45	౅
&#3142;	%c46	ె
&#3143;	%c47	ే
&#3144;	%c48	ై
&#3145;	%c49	౉
&#3146;	%c4a	ొ
&#3147;	%c4b	ో
&#3148;	%c4c	ౌ
&#3149;	%c4d	్
&#3150;	%c4e	౎
&#3151;	%c4f	౏
&#3152;	%c50	౐
&#3153;	%c51	౑
&#3154;	%c52	౒
&#3155;	%c53	౓
&#3156;	%c54	౔
&#3157;	%c55	ౕ
&#3158;	%c56	ౖ
&#3159;	%c57	౗
&#3160;	%c58	ౘ
&#3161;	%c59	ౙ
&#3162;	%c5a	ౚ
&#3163;	%c5b	౛
&#3164;	%c5c	౜
&#3165;	%c5d	ౝ
&#3166;	%c5e	౞
&#3167;	%c5f	౟
&#3168;	%c60	ౠ
&#3169;	%c61	ౡ
&#3170;	%c62	ౢ
&#3171;	%c63	ౣ
&#3172;	%c64	౤
&#3173;	%c65	౥
&#3174;	%c66	౦
&#3175;	%c67	౧
&#3176;	%c68	౨
&#3177;	%c69	౩
&#3178;	%c6a	౪
&#3179;	%c6b	౫
&#3180;	%c6c	౬
&#3181;	%c6d	౭
&#3182;	%c6e	౮
&#3183;	%c6f	౯
&#3184;	%c70	౰
&#3185;	%c71	౱
&#3186;	%c72	౲
&#3187;	%c73	౳
&#3188;	%c74	౴
&#3189;	%c75	౵
&#3190;	%c76	౶
&#3191;	%c77	౷
&#3192;	%c78	౸
&#3193;	%c79	౹
&#3194;	%c7a	౺
&#3195;	%c7b	౻
&#3196;	%c7c	౼
&#3197;	%c7d	౽
&#3198;	%c7e	౾
&#3199;	%c7f	౿
&#3200;	%c80	ಀ
&#3201;	%c81	ಁ
&#3202;	%c82	ಂ
&#3203;	%c83	ಃ
&#3204;	%c84	಄
&#3205;	%c85	ಅ
&#3206;	%c86	ಆ
&#3207;	%c87	ಇ
&#3208;	%c88	ಈ
&#3209;	%c89	ಉ
&#3210;	%c8a	ಊ
&#3211;	%c8b	ಋ
&#3212;	%c8c	ಌ
&#3213;	%c8d	಍
&#3214;	%c8e	ಎ
&#3215;	%c8f	ಏ
&#3216;	%c90	ಐ
&#3217;	%c91	಑
&#3218;	%c92	ಒ
&#3219;	%c93	ಓ
&#3220;	%c94	ಔ
&#3221;	%c95	ಕ
&#3222;	%c96	ಖ
&#3223;	%c97	ಗ
&#3224;	%c98	ಘ
&#3225;	%c99	ಙ
&#3226;	%c9a	ಚ
&#3227;	%c9b	ಛ
&#3228;	%c9c	ಜ
&#3229;	%c9d	ಝ
&#3230;	%c9e	ಞ
&#3231;	%c9f	ಟ
&#3232;	%ca0	ಠ
&#3233;	%ca1	ಡ
&#3234;	%ca2	ಢ
&#3235;	%ca3	ಣ
&#3236;	%ca4	ತ
&#3237;	%ca5	ಥ
&#3238;	%ca6	ದ
&#3239;	%ca7	ಧ
&#3240;	%ca8	ನ
&#3241;	%ca9	಩
&#3242;	%caa	ಪ
&#3243;	%cab	ಫ
&#3244;	%cac	ಬ
&#3245;	%cad	ಭ
&#3246;	%cae	ಮ
&#3247;	%caf	ಯ
&#3248;	%cb0	ರ
&#3249;	%cb1	ಱ
&#3250;	%cb2	ಲ
&#3251;	%cb3	ಳ
&#3252;	%cb4	಴
&#3253;	%cb5	ವ
&#3254;	%cb6	ಶ
&#3255;	%cb7	ಷ
&#3256;	%cb8	ಸ
&#3257;	%cb9	ಹ
&#3258;	%cba	಺
&#3259;	%cbb	಻
&#3260;	%cbc	಼
&#3261;	%cbd	ಽ
&#3262;	%cbe	ಾ
&#3263;	%cbf	ಿ
&#3264;	%cc0	ೀ
&#3265;	%cc1	ು
&#3266;	%cc2	ೂ
&#3267;	%cc3	ೃ
&#3268;	%cc4	ೄ
&#3269;	%cc5	೅
&#3270;	%cc6	ೆ
&#3271;	%cc7	ೇ
&#3272;	%cc8	ೈ
&#3273;	%cc9	೉
&#3274;	%cca	ೊ
&#3275;	%ccb	ೋ
&#3276;	%ccc	ೌ
&#3277;	%ccd	್
&#3278;	%cce	೎
&#3279;	%ccf	೏
&#3280;	%cd0	೐
&#3281;	%cd1	೑
&#3282;	%cd2	೒
&#3283;	%cd3	೓
&#3284;	%cd4	೔
&#3285;	%cd5	ೕ
&#3286;	%cd6	ೖ
&#3287;	%cd7	೗
&#3288;	%cd8	೘
&#3289;	%cd9	೙
&#3290;	%cda	೚
&#3291;	%cdb	೛
&#3292;	%cdc	೜
&#3293;	%cdd	ೝ
&#3294;	%cde	ೞ
&#3295;	%cdf	೟
&#3296;	%ce0	ೠ
&#3297;	%ce1	ೡ
&#3298;	%ce2	ೢ
&#3299;	%ce3	ೣ
&#3300;	%ce4	೤
&#3301;	%ce5	೥
&#3302;	%ce6	೦
&#3303;	%ce7	೧
&#3304;	%ce8	೨
&#3305;	%ce9	೩
&#3306;	%cea	೪
&#3307;	%ceb	೫
&#3308;	%cec	೬
&#3309;	%ced	೭
&#3310;	%cee	೮
&#3311;	%cef	೯
&#3312;	%cf0	೰
&#3313;	%cf1	ೱ
&#3314;	%cf2	ೲ
&#3315;	%cf3	ೳ
&#3316;	%cf4	೴
&#3317;	%cf5	೵
&#3318;	%cf6	೶
&#3319;	%cf7	೷
&#3320;	%cf8	೸
&#3321;	%cf9	೹
&#3322;	%cfa	೺
&#3323;	%cfb	೻
&#3324;	%cfc	೼
&#3325;	%cfd	೽
&#3326;	%cfe	೾
&#3327;	%cff	೿
&#3328;	%d00	ഀ
&#3329;	%d01	ഁ
&#3330;	%d02	ം
&#3331;	%d03	ഃ
&#3332;	%d04	ഄ
&#3333;	%d05	അ
&#3334;	%d06	ആ
&#3335;	%d07	ഇ
&#3336;	%d08	ഈ
&#3337;	%d09	ഉ
&#3338;	%d0a	ഊ
&#3339;	%d0b	ഋ
&#3340;	%d0c	ഌ
&#3341;	%d0d	഍
&#3342;	%d0e	എ
&#3343;	%d0f	ഏ
&#3344;	%d10	ഐ
&#3345;	%d11	഑
&#3346;	%d12	ഒ
&#3347;	%d13	ഓ
&#3348;	%d14	ഔ
&#3349;	%d15	ക
&#3350;	%d16	ഖ
&#3351;	%d17	ഗ
&#3352;	%d18	ഘ
&#3353;	%d19	ങ
&#3354;	%d1a	ച
&#3355;	%d1b	ഛ
&#3356;	%d1c	ജ
&#3357;	%d1d	ഝ
&#3358;	%d1e	ഞ
&#3359;	%d1f	ട
&#3360;	%d20	ഠ
&#3361;	%d21	ഡ
&#3362;	%d22	ഢ
&#3363;	%d23	ണ
&#3364;	%d24	ത
&#3365;	%d25	ഥ
&#3366;	%d26	ദ
&#3367;	%d27	ധ
&#3368;	%d28	ന
&#3369;	%d29	ഩ
&#3370;	%d2a	പ
&#3371;	%d2b	ഫ
&#3372;	%d2c	ബ
&#3373;	%d2d	ഭ
&#3374;	%d2e	മ
&#3375;	%d2f	യ
&#3376;	%d30	ര
&#3377;	%d31	റ
&#3378;	%d32	ല
&#3379;	%d33	ള
&#3380;	%d34	ഴ
&#3381;	%d35	വ
&#3382;	%d36	ശ
&#3383;	%d37	ഷ
&#3384;	%d38	സ
&#3385;	%d39	ഹ
&#3386;	%d3a	ഺ
&#3387;	%d3b	഻
&#3388;	%d3c	഼
&#3389;	%d3d	ഽ
&#3390;	%d3e	ാ
&#3391;	%d3f	ി
&#3392;	%d40	ീ
&#3393;	%d41	ു
&#3394;	%d42	ൂ
&#3395;	%d43	ൃ
&#3396;	%d44	ൄ
&#3397;	%d45	൅
&#3398;	%d46	െ
&#3399;	%d47	േ
&#3400;	%d48	ൈ
&#3401;	%d49	൉
&#3402;	%d4a	ൊ
&#3403;	%d4b	ോ
&#3404;	%d4c	ൌ
&#3405;	%d4d	്
&#3406;	%d4e	ൎ
&#3407;	%d4f	൏
&#3408;	%d50	൐
&#3409;	%d51	൑
&#3410;	%d52	൒
&#3411;	%d53	൓
&#3412;	%d54	ൔ
&#3413;	%d55	ൕ
&#3414;	%d56	ൖ
&#3415;	%d57	ൗ
&#3416;	%d58	൘
&#3417;	%d59	൙
&#3418;	%d5a	൚
&#3419;	%d5b	൛
&#3420;	%d5c	൜
&#3421;	%d5d	൝
&#3422;	%d5e	൞
&#3423;	%d5f	ൟ
&#3424;	%d60	ൠ
&#3425;	%d61	ൡ
&#3426;	%d62	ൢ
&#3427;	%d63	ൣ
&#3428;	%d64	൤
&#3429;	%d65	൥
&#3430;	%d66	൦
&#3431;	%d67	൧
&#3432;	%d68	൨
&#3433;	%d69	൩
&#3434;	%d6a	൪
&#3435;	%d6b	൫
&#3436;	%d6c	൬
&#3437;	%d6d	൭
&#3438;	%d6e	൮
&#3439;	%d6f	൯
&#3440;	%d70	൰
&#3441;	%d71	൱
&#3442;	%d72	൲
&#3443;	%d73	൳
&#3444;	%d74	൴
&#3445;	%d75	൵
&#3446;	%d76	൶
&#3447;	%d77	൷
&#3448;	%d78	൸
&#3449;	%d79	൹
&#3450;	%d7a	ൺ
&#3451;	%d7b	ൻ
&#3452;	%d7c	ർ
&#3453;	%d7d	ൽ
&#3454;	%d7e	ൾ
&#3455;	%d7f	ൿ
&#3456;	%d80	඀
&#3457;	%d81	ඁ
&#3458;	%d82	ං
&#3459;	%d83	ඃ
&#3460;	%d84	඄
&#3461;	%d85	අ
&#3462;	%d86	ආ
&#3463;	%d87	ඇ
&#3464;	%d88	ඈ
&#3465;	%d89	ඉ
&#3466;	%d8a	ඊ
&#3467;	%d8b	උ
&#3468;	%d8c	ඌ
&#3469;	%d8d	ඍ
&#3470;	%d8e	ඎ
&#3471;	%d8f	ඏ
&#3472;	%d90	ඐ
&#3473;	%d91	එ
&#3474;	%d92	ඒ
&#3475;	%d93	ඓ
&#3476;	%d94	ඔ
&#3477;	%d95	ඕ
&#3478;	%d96	ඖ
&#3479;	%d97	඗
&#3480;	%d98	඘
&#3481;	%d99	඙
&#3482;	%d9a	ක
&#3483;	%d9b	ඛ
&#3484;	%d9c	ග
&#3485;	%d9d	ඝ
&#3486;	%d9e	ඞ
&#3487;	%d9f	ඟ
&#3488;	%da0	ච
&#3489;	%da1	ඡ
&#3490;	%da2	ජ
&#3491;	%da3	ඣ
&#3492;	%da4	ඤ
&#3493;	%da5	ඥ
&#3494;	%da6	ඦ
&#3495;	%da7	ට
&#3496;	%da8	ඨ
&#3497;	%da9	ඩ
&#3498;	%daa	ඪ
&#3499;	%dab	ණ
&#3500;	%dac	ඬ
&#3501;	%dad	ත
&#3502;	%dae	ථ
&#3503;	%daf	ද
&#3504;	%db0	ධ
&#3505;	%db1	න
&#3506;	%db2	඲
&#3507;	%db3	ඳ
&#3508;	%db4	ප
&#3509;	%db5	ඵ
&#3510;	%db6	බ
&#3511;	%db7	භ
&#3512;	%db8	ම
&#3513;	%db9	ඹ
&#3514;	%dba	ය
&#3515;	%dbb	ර
&#3516;	%dbc	඼
&#3517;	%dbd	ල
&#3518;	%dbe	඾
&#3519;	%dbf	඿
&#3520;	%dc0	ව
&#3521;	%dc1	ශ
&#3522;	%dc2	ෂ
&#3523;	%dc3	ස
&#3524;	%dc4	හ
&#3525;	%dc5	ළ
&#3526;	%dc6	ෆ
&#3527;	%dc7	෇
&#3528;	%dc8	෈
&#3529;	%dc9	෉
&#3530;	%dca	්
&#3531;	%dcb	෋
&#3532;	%dcc	෌
&#3533;	%dcd	෍
&#3534;	%dce	෎
&#3535;	%dcf	ා
&#3536;	%dd0	ැ
&#3537;	%dd1	ෑ
&#3538;	%dd2	ි
&#3539;	%dd3	ී
&#3540;	%dd4	ු
&#3541;	%dd5	෕
&#3542;	%dd6	ූ
&#3543;	%dd7	෗
&#3544;	%dd8	ෘ
&#3545;	%dd9	ෙ
&#3546;	%dda	ේ
&#3547;	%ddb	ෛ
&#3548;	%ddc	ො
&#3549;	%ddd	ෝ
&#3550;	%dde	ෞ
&#3551;	%ddf	ෟ
&#3552;	%de0	෠
&#3553;	%de1	෡
&#3554;	%de2	෢
&#3555;	%de3	෣
&#3556;	%de4	෤
&#3557;	%de5	෥
&#3558;	%de6	෦
&#3559;	%de7	෧
&#3560;	%de8	෨
&#3561;	%de9	෩
&#3562;	%dea	෪
&#3563;	%deb	෫
&#3564;	%dec	෬
&#3565;	%ded	෭
&#3566;	%dee	෮
&#3567;	%def	෯
&#3568;	%df0	෰
&#3569;	%df1	෱
&#3570;	%df2	ෲ
&#3571;	%df3	ෳ
&#3572;	%df4	෴
&#3573;	%df5	෵
&#3574;	%df6	෶
&#3575;	%df7	෷
&#3576;	%df8	෸
&#3577;	%df9	෹
&#3578;	%dfa	෺
&#3579;	%dfb	෻
&#3580;	%dfc	෼
&#3581;	%dfd	෽
&#3582;	%dfe	෾
&#3583;	%dff	෿
&#3584;	%e00	฀
&#3585;	%e01	ก
&#3586;	%e02	ข
&#3587;	%e03	ฃ
&#3588;	%e04	ค
&#3589;	%e05	ฅ
&#3590;	%e06	ฆ
&#3591;	%e07	ง
&#3592;	%e08	จ
&#3593;	%e09	ฉ
&#3594;	%e0a	ช
&#3595;	%e0b	ซ
&#3596;	%e0c	ฌ
&#3597;	%e0d	ญ
&#3598;	%e0e	ฎ
&#3599;	%e0f	ฏ
&#3600;	%e10	ฐ
&#3601;	%e11	ฑ
&#3602;	%e12	ฒ
&#3603;	%e13	ณ
&#3604;	%e14	ด
&#3605;	%e15	ต
&#3606;	%e16	ถ
&#3607;	%e17	ท
&#3608;	%e18	ธ
&#3609;	%e19	น
&#3610;	%e1a	บ
&#3611;	%e1b	ป
&#3612;	%e1c	ผ
&#3613;	%e1d	ฝ
&#3614;	%e1e	พ
&#3615;	%e1f	ฟ
&#3616;	%e20	ภ
&#3617;	%e21	ม
&#3618;	%e22	ย
&#3619;	%e23	ร
&#3620;	%e24	ฤ
&#3621;	%e25	ล
&#3622;	%e26	ฦ
&#3623;	%e27	ว
&#3624;	%e28	ศ
&#3625;	%e29	ษ
&#3626;	%e2a	ส
&#3627;	%e2b	ห
&#3628;	%e2c	ฬ
&#3629;	%e2d	อ
&#3630;	%e2e	ฮ
&#3631;	%e2f	ฯ
&#3632;	%e30	ะ
&#3633;	%e31	ั
&#3634;	%e32	า
&#3635;	%e33	ำ
&#3636;	%e34	ิ
&#3637;	%e35	ี
&#3638;	%e36	ึ
&#3639;	%e37	ื
&#3640;	%e38	ุ
&#3641;	%e39	ู
&#3642;	%e3a	ฺ
&#3643;	%e3b	฻
&#3644;	%e3c	฼
&#3645;	%e3d	฽
&#3646;	%e3e	฾
&#3647;	%e3f	฿
&#3648;	%e40	เ
&#3649;	%e41	แ
&#3650;	%e42	โ
&#3651;	%e43	ใ
&#3652;	%e44	ไ
&#3653;	%e45	ๅ
&#3654;	%e46	ๆ
&#3655;	%e47	็
&#3656;	%e48	่
&#3657;	%e49	้
&#3658;	%e4a	๊
&#3659;	%e4b	๋
&#3660;	%e4c	์
&#3661;	%e4d	ํ
&#3662;	%e4e	๎
&#3663;	%e4f	๏
&#3664;	%e50	๐
&#3665;	%e51	๑
&#3666;	%e52	๒
&#3667;	%e53	๓
&#3668;	%e54	๔
&#3669;	%e55	๕
&#3670;	%e56	๖
&#3671;	%e57	๗
&#3672;	%e58	๘
&#3673;	%e59	๙
&#3674;	%e5a	๚
&#3675;	%e5b	๛
&#3676;	%e5c	๜
&#3677;	%e5d	๝
&#3678;	%e5e	๞
&#3679;	%e5f	๟
&#3680;	%e60	๠
&#3681;	%e61	๡
&#3682;	%e62	๢
&#3683;	%e63	๣
&#3684;	%e64	๤
&#3685;	%e65	๥
&#3686;	%e66	๦
&#3687;	%e67	๧
&#3688;	%e68	๨
&#3689;	%e69	๩
&#3690;	%e6a	๪
&#3691;	%e6b	๫
&#3692;	%e6c	๬
&#3693;	%e6d	๭
&#3694;	%e6e	๮
&#3695;	%e6f	๯
&#3696;	%e70	๰
&#3697;	%e71	๱
&#3698;	%e72	๲
&#3699;	%e73	๳
&#3700;	%e74	๴
&#3701;	%e75	๵
&#3702;	%e76	๶
&#3703;	%e77	๷
&#3704;	%e78	๸
&#3705;	%e79	๹
&#3706;	%e7a	๺
&#3707;	%e7b	๻
&#3708;	%e7c	๼
&#3709;	%e7d	๽
&#3710;	%e7e	๾
&#3711;	%e7f	๿
&#3712;	%e80	຀
&#3713;	%e81	ກ
&#3714;	%e82	ຂ
&#3715;	%e83	຃
&#3716;	%e84	ຄ
&#3717;	%e85	຅
&#3718;	%e86	ຆ
&#3719;	%e87	ງ
&#3720;	%e88	ຈ
&#3721;	%e89	ຉ
&#3722;	%e8a	ຊ
&#3723;	%e8b	຋
&#3724;	%e8c	ຌ
&#3725;	%e8d	ຍ
&#3726;	%e8e	ຎ
&#3727;	%e8f	ຏ
&#3728;	%e90	ຐ
&#3729;	%e91	ຑ
&#3730;	%e92	ຒ
&#3731;	%e93	ຓ
&#3732;	%e94	ດ
&#3733;	%e95	ຕ
&#3734;	%e96	ຖ
&#3735;	%e97	ທ
&#3736;	%e98	ຘ
&#3737;	%e99	ນ
&#3738;	%e9a	ບ
&#3739;	%e9b	ປ
&#3740;	%e9c	ຜ
&#3741;	%e9d	ຝ
&#3742;	%e9e	ພ
&#3743;	%e9f	ຟ
&#3744;	%ea0	ຠ
&#3745;	%ea1	ມ
&#3746;	%ea2	ຢ
&#3747;	%ea3	ຣ
&#3748;	%ea4	຤
&#3749;	%ea5	ລ
&#3750;	%ea6	຦
&#3751;	%ea7	ວ
&#3752;	%ea8	ຨ
&#3753;	%ea9	ຩ
&#3754;	%eaa	ສ
&#3755;	%eab	ຫ
&#3756;	%eac	ຬ
&#3757;	%ead	ອ
&#3758;	%eae	ຮ
&#3759;	%eaf	ຯ
&#3760;	%eb0	ະ
&#3761;	%eb1	ັ
&#3762;	%eb2	າ
&#3763;	%eb3	ຳ
&#3764;	%eb4	ິ
&#3765;	%eb5	ີ
&#3766;	%eb6	ຶ
&#3767;	%eb7	ື
&#3768;	%eb8	ຸ
&#3769;	%eb9	ູ
&#3770;	%eba	຺
&#3771;	%ebb	ົ
&#3772;	%ebc	ຼ
&#3773;	%ebd	ຽ
&#3774;	%ebe	຾
&#3775;	%ebf	຿
&#3776;	%ec0	ເ
&#3777;	%ec1	ແ
&#3778;	%ec2	ໂ
&#3779;	%ec3	ໃ
&#3780;	%ec4	ໄ
&#3781;	%ec5	໅
&#3782;	%ec6	ໆ
&#3783;	%ec7	໇
&#3784;	%ec8	່
&#3785;	%ec9	້
&#3786;	%eca	໊
&#3787;	%ecb	໋
&#3788;	%ecc	໌
&#3789;	%ecd	ໍ
&#3790;	%ece	໎
&#3791;	%ecf	໏
&#3792;	%ed0	໐
&#3793;	%ed1	໑
&#3794;	%ed2	໒
&#3795;	%ed3	໓
&#3796;	%ed4	໔
&#3797;	%ed5	໕
&#3798;	%ed6	໖
&#3799;	%ed7	໗
